,A,Defender's Losses,Attacker's Gains
0,0.01,113.21112549172942,32.52616053453495
1,0.02,112.98450655968985,32.47302702795619
2,0.03,112.75873611777996,32.42005680082053
3,0.04,112.53380977551149,32.36724916538485
4,0.05,112.30970026046533,32.314604595786996
5,0.06,112.08647005996188,32.262118602602406
6,0.07,111.86402843267945,32.20979614380161
7,0.08,111.64243493383755,32.15763206389501
8,0.09,111.4216878044014,32.10562602858645
9,0.1,111.2017373706196,32.05377841579612
10,0.11,110.98259708965477,32.002091220967365
11,0.12,110.76426858027683,31.950559169887814
12,0.13,110.54673867296621,31.89918594818289
13,0.14,110.33001778280092,31.847967128393993
14,0.15,110.11409540978114,31.796903495482724
15,0.16,109.89896460947962,31.74599452095993
16,0.17,109.68462923523514,31.695239023225263
17,0.18,109.47107223997335,31.644637391426876
18,0.19,109.25829422628549,31.594188480049286
19,0.2,109.04630968812654,31.54389051832908
20,0.21,108.83505452087164,31.493747856912854
21,0.22,108.62463620058257,31.443750674613835
22,0.23,108.41495022377745,31.393905942338208
23,0.24,108.20602621241301,31.34421071998662
24,0.25,107.99785213561498,31.29466437156882
25,0.26,107.79043886976855,31.24526636335644
26,0.27,107.58377556871476,31.196016155075487
27,0.28,107.37785916395413,31.146912815680764
28,0.29,107.1726855650773,31.097955926568492
29,0.3,106.96825094765155,31.04914504096714
30,0.31,106.76454921974627,31.000482837449702
31,0.32,106.56158389292594,30.951958969020318
32,0.33,106.35934423518754,30.903582036036
33,0.34,106.15781722141529,30.855348352570957
34,0.35,105.95705141026804,30.807259476728348
35,0.36,105.75695743144608,30.75930911475439
36,0.37,105.55759064952385,30.711505457348927
37,0.38,105.35893656095875,30.663839966037767
38,0.39,105.1609913867421,30.61631259712778
39,0.4,104.96374760058542,30.568925097292748
40,0.41,107.0608574708078,30.46860064027618
41,0.42,104.57135426622102,30.474571251098293
42,0.43,104.37620038674028,30.42760487061478
43,0.44,104.18173375790701,30.38077600896674
44,0.45,0.0,0.0
45,0.46,0.0,0.0
46,0.47,0.0,0.0
47,0.48,0.0,0.0
48,0.49,0.0,0.0
49,0.5,0.0,0.0
50,0.51,0.0,0.0
51,0.52,0.0,0.0
52,0.53,0.0,0.0
53,0.54,0.0,0.0
54,0.55,0.0,0.0
55,0.56,0.0,0.0
56,0.57,0.0,0.0
57,0.58,0.0,0.0
58,0.59,0.0,0.0
59,0.6,0.0,0.0
60,0.61,0.0,0.0
61,0.62,0.0,0.0
62,0.63,0.0,0.0
63,0.64,0.0,0.0
64,0.65,0.0,0.0
65,0.66,0.0,0.0
66,0.67,0.0,0.0
67,0.68,0.0,0.0
68,0.69,0.0,0.0
69,0.7,0.0,0.0
70,0.71,0.0,0.0
71,0.72,0.0,0.0
72,0.73,0.0,0.0
73,0.74,0.0,0.0
74,0.75,0.0,0.0
75,0.76,0.0,0.0
76,0.77,0.0,0.0
77,0.78,0.0,0.0
78,0.79,0.0,0.0
79,0.8,0.0,0.0
80,0.81,0.0,0.0
81,0.82,0.0,0.0
82,0.83,0.0,0.0
83,0.84,0.0,0.0
84,0.85,0.0,0.0
85,0.86,0.0,0.0
86,0.87,0.0,0.0
87,0.88,0.0,0.0
88,0.89,0.0,0.0
89,0.9,0.0,0.0
90,0.91,0.0,0.0
91,0.92,0.0,0.0
92,0.93,0.0,0.0
93,0.94,0.0,0.0
94,0.95,0.0,0.0
95,0.96,0.0,0.0
96,0.97,0.0,0.0
97,0.98,0.0,0.0
98,0.99,0.0,0.0
