,beta,Defender's Losses,Attacker's Gains
0,0.01,0.0,0.0
1,0.02,0.0,0.0
2,0.03,0.0,0.0
3,0.04,0.0,0.0
4,0.05,0.0,0.0
5,0.06,0.0,0.0
6,0.07,0.0,0.0
7,0.08,0.0,0.0
8,0.09,0.0,0.0
9,0.1,0.0,0.0
10,0.11,0.0,0.0
11,0.12,0.0,0.0
12,0.13,0.0,0.0
13,0.14,0.0,0.0
14,0.15,0.0,0.0
15,0.16,0.0,0.0
16,0.17,0.0,0.0
17,0.18,0.0,0.0
18,0.19,0.0,0.0
19,0.2,0.0,0.0
20,0.21,0.0,0.0
21,0.22,20.424829615911683,6.969907039901178
22,0.23,0.0,0.0
23,0.24,22.38621038732751,7.608128598294922
24,0.25,23.373786733665494,7.927521924228312
25,0.26,24.365966062915298,8.247102003321224
26,0.27,25.362799356408424,8.566866867534149
27,0.28,26.36434307083929,8.886815388020198
28,0.29,27.370554311589657,9.206945103806058
29,0.3,28.38147501645656,9.527254368842659
30,0.31,29.397177281630444,9.847739477869409
31,0.32,30.41756359438761,10.168400707751662
32,0.33,31.44278525584434,10.489232929853014
33,0.34,32.4728049283986,10.81023439909782
34,0.35,33.50763247473736,11.13140172608796
35,0.36,34.547308600500294,11.452731834700234
36,0.37,0.0,0.0
37,0.38,36.64125735208163,12.095866242415466
38,0.39,0.0,0.0
39,0.4,38.75475768590942,12.739608566717015
40,0.41,39.818899041411974,13.06169696380876
41,0.42,0.0,0.0
42,0.43,0.0,0.0
43,0.44,0.0,0.0
44,0.45,44.12493915476858,14.351395662603855
45,0.46,45.21387049779041,14.674131589130747
46,0.47,46.30781811962511,14.996982176742776
47,0.48,47.40673905307524,15.319940040087635
48,0.49,48.51066777753232,15.643000636005965
49,0.5,49.61962848563831,15.966157916870264
50,0.51,50.73358737861926,16.289404209374954
51,0.52,85.17707542179923,16.833196712861213
52,0.53,86.32325037378124,17.152730466974436
53,0.54,87.47404238462232,17.47231952532645
54,0.55,88.62943398869882,17.791957139858877
55,0.56,89.78941731891328,18.11163685603186
56,0.57,57.52283429833973,18.23039215071413
57,0.58,58.671966310785145,18.554073779842984
58,0.59,59.82608170084791,18.87778463560537
59,0.6,60.98518076945122,19.201518705249008
60,0.61,0.0,0.0
61,0.62,0.0,0.0
62,0.63,64.49251394208595,20.17278278123154
63,0.64,65.6715599805984,20.496526140670362
64,0.65,66.85553869401842,20.820252028495428
65,0.66,68.04449103604341,21.14394069922069
66,0.67,69.23834362092781,21.4675931123783
67,0.68,70.43709954310371,21.791195212947603
68,0.69,71.64073547819615,22.1147385464543
69,0.7,72.84922312439502,22.43821274828871
70,0.71,74.06257313116772,22.761606674269974
71,0.72,75.28073079117004,23.084907702098924
72,0.73,76.50366250337784,23.408109611031232
73,0.74,77.73138270411708,23.73119913242906
74,0.75,78.96380139736826,24.054163653954532
75,0.76,80.20096055907088,24.376996884743008
76,0.77,81.44279220521804,24.69968356428677
77,0.78,82.68925050827397,25.022213108064403
78,0.79,83.94032457141343,25.34457435500439
79,0.8,85.19597740677257,25.666752547706956
80,0.81,86.45615540406493,25.98874266590695
81,0.82,87.72084614531734,26.31053193756497
82,0.83,88.98997474530785,26.63210007416005
83,0.84,90.26353202490304,26.953441914119846
84,0.85,91.54142884014327,27.274542385523265
85,0.86,92.82369367800497,27.59539167822403
86,0.87,94.11014297069251,27.915980867659044
87,0.88,95.40101506581777,28.236284814967462
88,0.89,96.69597226219945,28.55630617048439
89,0.9,97.9950639527736,28.8760191144494
90,0.91,99.29824668559812,29.195420191845436
91,0.92,100.60545631777467,29.514496058930202
92,0.93,101.91665736542348,29.833228010544453
93,0.94,103.23180029896353,30.151607074382667
94,0.95,169.78147169154954,61.39236092276144
95,0.96,171.29495595917658,61.584668902927795
96,0.97,172.80533240528348,61.776479802495885
97,0.98,108.53039227775079,31.421353034107792
98,0.99,109.86428691013691,31.737781866279953
